feature,coefficient,absolute_coefficient,odds_ratio
payment_method_Crypto,0.7709764665130454,0.7709764665130454,2.1618762231973268
discount_applied,0.41646961519001297,0.41646961519001297,1.5165979190826282
discount_amount,-0.14774413100707204,0.14774413100707204,0.8626518125565296
device_type_Mobile,-0.12068806898766414,0.12068806898766414,0.8863103841733135
payment_method_PayPal,-0.08182415918798822,0.08182415918798822,0.9214339701493448
payment_method_Debit Card,-0.08172316233738547,0.08172316233738547,0.9215270367780073
discounted_order_value,0.08014031295549748,0.08014031295549748,1.0834390775493041
log_order_value,0.05807109952220243,0.05807109952220243,1.0597903436187217
order_dayofweek_sin,-0.03691733559107907,0.03691733559107907,0.9637558003598584
order_dayofweek_cos,-0.03480252767949284,0.03480252767949284,0.9657961154280933
device_type_Tablet,-0.02124417727875094,0.02124417727875094,0.9789798907367765
is_weekend_order,-0.019237366167559486,0.019237366167559486,0.980946491096861
order_month_sin,0.019075205857746393,0.019075205857746393,1.0192582999297695
order_dayofweek,-0.01739888829351969,0.01739888829351969,0.9827515983327777
order_year,-0.016008408071251676,0.016008408071251676,0.984119045477444
payment_method_Credit Card,-0.01574340761597136,0.01574340761597136,0.9843798720305968
order_month_cos,0.008862004638122223,0.008862004638122223,1.008901388455114
order_quarter,0.001841694943591497,0.001841694943591497,1.0018433919053262
order_month,0.0010500419636521783,0.0010500419636521783,1.0010505934507261
order_value,0.0,0.0,1.0
device_type_Desktop,0.0,0.0,1.0
payment_method_UPI,0.0,0.0,1.0
