feature,mean_absolute_shap_value
discount_applied,0.25911934113621754
payment_method_Crypto,0.2385292042204348
prior_customer_transaction_count,0.1980487105494009
prior_product_transaction_count,0.16611198458088805
avg_session_time,0.07493322375433072
pages_per_session,0.07177929160681373
device_type_Mobile,0.06574926202387049
days_since_last_order,0.0571251779489603
prior_customer_avg_order_value,0.0570607579678949
support_tickets,0.05592427164585729
cart_abandon_rate,0.05351100957203687
review_score,0.05284650136111913
loyalty_score,0.04787033876730793
age,0.047704719836327424
return_rate,0.03966579914033618
popularity_score,0.03819846204272138
discount_amount,0.03794603685652232
prior_product_avg_order_value,0.03782142717485187
margin_percentage,0.03625668608359452
discounted_order_value,0.0359298204757241
estimated_margin_value,0.03518775353469267
price,0.03404316123620763
payment_method_PayPal,0.03128585540777444
order_month_cos,0.025505946230586288
log_order_value,0.02505302813650025
gender_Female,0.024653779522883303
order_month,0.022278158411457236
order_dayofweek_cos,0.021441709348017677
category_Beauty,0.02128938003730709
category_Home & Kitchen,0.020442106947673063
order_value,0.015884983241135193
payment_method_Debit Card,0.015460635298075242
order_year,0.015386124613728389
order_month_sin,0.012701036080751914
order_dayofweek,0.01188405053042298
order_dayofweek_sin,0.011617852843360992
gender_Male,0.011305242960928713
category_Toys,0.008841152857497083
country_India,0.008773593524314217
category_Automotive,0.008056861419483557
country_UK,0.007761572190577398
device_type_Desktop,0.006483309320099987
device_type_Tablet,0.006263063911060229
payment_method_UPI,0.005733651764467671
country_Brazil,0.005442889843580029
category_Electronics,0.003288362987005902
category_Sports,0.002947313799781721
country_France,0.0029466998067116086
gender_Other,0.0024746556165827884
payment_method_Credit Card,0.002396631273627278
country_USA,0.0018510221019096378
country_Australia,0.0017540514129953412
category_Fashion,0.0016164717688461566
category_Books,0.0015069828375054895
country_Canada,0.0012667041513543462
country_Germany,0.0005012635713861261
order_quarter,0.0
margin_rate,0.0
is_weekend_order,0.0
is_first_customer_transaction,0.0
is_first_product_transaction,0.0
