feature_set,model,candidate_id,test_PR_AUC,test_fraud_rate_baseline,PR_AUC_lift_over_fraud_base_rate,test_ROC_AUC,test_precision,test_recall,test_F1,params
transaction_only,Logistic Regression,1,0.07020156331258708,0.041633333333333335,1.6861864686770314,0.6340117135620083,0.07663628831814416,0.2962369895916733,0.12177061049860129,"{'C': 0.1, 'penalty': 'l2'}"
transaction_only,Logistic Regression,2,0.07019664841257461,0.041633333333333335,1.6860684166350988,0.6340011037037345,0.07626588872681808,0.2930344275420336,0.12103174603174603,"{'C': 1.0, 'penalty': 'l2'}"
transaction_only,Logistic Regression,3,0.07019624267159408,0.041633333333333335,1.686058671055102,0.6340004632136024,0.07626588872681808,0.2930344275420336,0.12103174603174603,"{'C': 3.0, 'penalty': 'l2'}"
transaction_only,Logistic Regression,4,0.0701928738206283,0.041633333333333335,1.6859777538981977,0.6340276979679114,0.07658505963590709,0.2930344275420336,0.12143331121433311,"{'C': 0.3, 'penalty': 'l1'}"
integrated,Logistic Regression,1,0.06957733898103623,0.041633333333333335,1.671193090016883,0.6327583857632523,0.07502841985600606,0.31705364291433147,0.12134211735866401,"{'C': 0.1, 'penalty': 'l2'}"
integrated,Logistic Regression,4,0.06950609922575768,0.041633333333333335,1.6694819669917778,0.6328490290406301,0.07555646314069839,0.2962369895916733,0.12040351448096323,"{'C': 0.3, 'penalty': 'l1'}"
integrated,Logistic Regression,2,0.06944070350153458,0.041633333333333335,1.6679112130072358,0.6328342142254029,0.08294392523364486,0.22738190552441953,0.12154932591482988,"{'C': 1.0, 'penalty': 'l2'}"
integrated,Logistic Regression,3,0.06943104335660596,0.041633333333333335,1.6676791839056677,0.6328405634319288,0.08253135024788569,0.22658126501200962,0.12099187687045745,"{'C': 3.0, 'penalty': 'l2'}"
transaction_only,LightGBM,5,0.0668007067688743,0.041633333333333335,1.6045005629033058,0.6236408694971003,0.06650140116404397,0.49399519615692555,0.11722238054526456,"{'n_estimators': 300, 'learning_rate': 0.05, 'num_leaves': 15, 'min_child_samples': 50, 'reg_lambda': 1.0}"
transaction_only,LightGBM,7,0.0636014435790743,0.041633333333333335,1.527656771314835,0.6218832392615772,0.06877623506619308,0.3410728582866293,0.11446997178557033,"{'n_estimators': 300, 'learning_rate': 0.05, 'num_leaves': 31, 'min_child_samples': 100, 'reg_lambda': 5.0}"
integrated,LightGBM,6,0.06275424667410584,0.041633333333333335,1.5073077663916534,0.6041527597926137,0.05413716655939355,0.6060848678943155,0.09939600840336134,"{'n_estimators': 400, 'learning_rate': 0.03, 'num_leaves': 31, 'min_child_samples': 50, 'reg_lambda': 5.0}"
transaction_only,LightGBM,6,0.06274899305837191,0.041633333333333335,1.5071815786638567,0.6209275722898238,0.06639184204816663,0.4899919935948759,0.11693895098882201,"{'n_estimators': 400, 'learning_rate': 0.03, 'num_leaves': 31, 'min_child_samples': 50, 'reg_lambda': 5.0}"
integrated,LightGBM,7,0.062258872377009,0.041633333333333335,1.4954092644597838,0.6001408966900834,0.06245533800200086,0.3498799039231385,0.10599078341013825,"{'n_estimators': 300, 'learning_rate': 0.05, 'num_leaves': 31, 'min_child_samples': 100, 'reg_lambda': 5.0}"
integrated,LightGBM,5,0.05727322593874265,0.041633333333333335,1.3756579488889347,0.5715299518666096,0.04736576899389732,0.677341873498799,0.08854003139717426,"{'n_estimators': 300, 'learning_rate': 0.05, 'num_leaves': 15, 'min_child_samples': 50, 'reg_lambda': 1.0}"
