customer_id,avg_session_time,pages_per_session,cart_abandon_rate,return_rate,support_tickets,review_score,behavior_churn_signal
CUST000001,8.12,21,0.95,0.37,1,3.39,1
CUST000002,3.96,9,0.16,0.03,3,4.46,1
CUST000003,12.42,24,0.71,0.01,1,4.88,0
CUST000004,16.82,18,0.21,0.09,1,1.73,0
CUST000005,6.78,2,0.52,0.22,0,2.16,1
CUST000006,12.63,8,0.14,0.15,8,2.47,0
CUST000007,9.67,18,0.79,0.1,3,3.06,0
CUST000008,12.26,23,0.05,0.3,8,1.68,1
CUST000009,2.24,15,0.95,0.48,9,4.23,1
CUST000010,6.79,1,0.1,0.34,2,2.76,0
CUST000011,3.32,11,0.5,0.02,4,4.64,1
CUST000012,5.92,25,0.66,0.16,5,3.08,1
CUST000013,11.39,13,0.18,0.48,1,4.1,0
CUST000014,18.85,12,0.89,0.3,9,4.69,1
CUST000015,2.68,2,0.2,0.02,7,2.3,0
CUST000016,8.38,13,0.27,0.41,1,2.43,0
CUST000017,6.34,21,0.54,0.07,9,4.21,0
CUST000018,2.42,12,0.99,0.39,9,1.79,1
CUST000019,1.1,3,0.82,0.35,0,3.92,0
CUST000020,15.65,25,0.07,0.18,4,1.46,0
CUST000021,17.4,8,0.62,0.17,1,1.25,1
CUST000022,6.91,15,0.33,0.36,10,3.55,0
CUST000023,17.86,6,0.47,0.06,5,3.85,0
CUST000024,15.45,22,0.56,0.39,4,2.98,0
CUST000025,10.93,22,0.43,0.01,10,1.43,1
CUST000026,1.6,21,0.64,0.16,2,3.03,0
CUST000027,18.24,8,0.25,0.21,2,4.02,0
CUST000028,5.35,9,0.08,0.14,10,1.64,0
CUST000029,18.66,8,0.81,0.32,10,4.49,1
CUST000030,16.27,25,0.19,0.45,0,3.16,1
CUST000031,16.34,2,0.9,0.16,5,1.44,1
CUST000032,5.33,3,0.43,0.41,3,4.44,0
CUST000033,1.13,19,0.51,0.21,5,1.89,1
CUST000034,3.28,16,0.34,0.47,6,2.29,0
CUST000035,10.86,21,0.7,0.18,7,4.89,1
CUST000036,19.29,5,0.25,0.25,3,2.2,0
CUST000037,6.41,18,0.04,0.3,4,3.01,0
CUST000038,1.98,14,0.28,0.45,9,1.96,1
CUST000039,3.75,8,0.49,0.49,2,1.97,0
CUST000040,13.77,3,0.76,0.12,0,3.91,0
CUST000041,7.99,5,0.63,0.32,10,3.14,1
CUST000042,2.72,22,0.84,0.16,6,1.75,1
CUST000043,1.77,13,0.59,0.34,6,1.07,1
CUST000044,10.73,15,0.23,0.32,8,1.7,0
CUST000045,14.13,18,0.39,0.47,0,1.55,0
CUST000046,7.48,4,0.11,0.46,10,4.51,0
CUST000047,5.9,25,0.66,0.41,4,3.22,0
CUST000048,11.06,11,0.24,0.05,1,4.59,0
CUST000049,18.11,6,0.63,0.17,7,2.4,1
CUST000050,14.79,24,0.9,0.44,4,4.12,0
CUST000051,13.2,25,0.08,0.08,2,4.59,0
CUST000052,12.52,4,0.01,0.05,10,3.65,1
CUST000053,1.1,21,0.16,0.27,8,3.77,0
CUST000054,13.39,5,0.22,0.36,5,1.95,0
CUST000055,7.18,18,0.75,0.32,8,4.4,0
CUST000056,13.49,20,0.57,0.05,5,2.47,0
CUST000057,6.04,4,0.24,0.49,5,2.57,0
CUST000058,17.95,10,0.63,0.4,3,3.01,1
CUST000059,11.96,19,0.49,0.1,1,3.89,1
CUST000060,6.33,16,0.02,0.32,1,1.71,0
CUST000061,18.87,18,0.95,0.46,2,2.48,1
CUST000062,1.29,16,0.93,0.21,8,4.87,1
CUST000063,19.31,17,0.85,0.15,9,2.54,1
CUST000064,17.17,7,0.32,0.08,8,3.23,0
CUST000065,18.79,23,0.7,0.29,3,1.39,0
CUST000066,12.69,13,0.99,0.07,10,3.07,0
CUST000067,17.67,15,0.74,0.35,8,3.81,1
CUST000068,7.83,8,0.29,0.4,3,4.24,1
CUST000069,17.47,1,0.91,0.26,9,3.01,0
CUST000070,16.17,19,0.65,0.35,3,4.18,1
CUST000071,17.91,23,0.34,0.19,10,1.38,1
CUST000072,11.99,3,0.04,0.23,0,3.17,0
CUST000073,6.44,3,0.59,0.02,8,1.15,1
CUST000074,16.63,22,0.36,0.06,7,3.09,0
CUST000075,15.63,5,0.22,0.31,9,1.34,0
CUST000076,1.98,8,0.53,0.27,7,3.55,0
CUST000077,14.8,7,0.98,0.26,1,2.29,1
CUST000078,16.11,14,0.27,0.22,5,1.31,0
CUST000079,1.48,15,0.96,0.42,0,3.78,0
CUST000080,8.77,21,0.17,0.08,1,2.0,1
CUST000081,11.44,24,0.71,0.33,5,2.12,0
CUST000082,19.14,4,0.74,0.28,3,3.45,1
CUST000083,8.97,18,0.25,0.18,7,4.03,1
CUST000084,1.27,6,0.12,0.02,4,1.16,1
CUST000085,17.25,3,0.7,0.24,7,1.39,0
CUST000086,10.34,18,0.47,0.09,1,2.74,1
CUST000087,8.57,18,0.62,0.32,0,1.18,0
CUST000088,8.12,25,0.63,0.25,3,4.43,1
CUST000089,13.52,16,0.16,0.04,7,3.57,0
CUST000090,1.5,13,0.59,0.47,0,3.3,1
CUST000091,8.38,1,0.64,0.23,6,3.18,1
CUST000092,18.89,15,0.39,0.48,4,4.62,0
CUST000093,4.72,24,0.07,0.05,8,1.07,0
CUST000094,2.79,16,0.68,0.04,2,2.28,1
CUST000095,17.05,7,0.02,0.41,0,2.13,0
CUST000096,3.25,18,0.7,0.31,0,4.51,0
CUST000097,14.97,2,0.8,0.14,0,1.71,0
CUST000098,15.26,17,0.81,0.5,8,2.65,1
CUST000099,8.07,17,0.78,0.17,1,4.72,0
CUST000100,17.31,3,0.43,0.38,9,4.02,1
CUST000101,2.96,8,0.9,0.25,6,4.31,1
CUST000102,7.08,19,0.9,0.19,3,1.04,1
CUST000103,18.2,2,0.09,0.16,9,4.8,1
CUST000104,19.06,22,0.57,0.32,9,2.79,0
CUST000105,6.57,11,0.33,0.34,4,4.01,1
CUST000106,16.04,23,0.79,0.05,5,2.98,1
CUST000107,2.09,13,0.55,0.22,2,4.55,0
CUST000108,7.67,10,0.12,0.07,7,4.05,0
CUST000109,12.75,25,0.1,0.04,1,3.8,1
CUST000110,2.38,20,0.82,0.35,9,1.33,0
CUST000111,2.61,3,0.99,0.19,8,2.48,1
CUST000112,16.44,9,0.95,0.49,2,4.01,0
CUST000113,8.15,3,0.08,0.39,3,3.23,0
CUST000114,9.06,6,0.91,0.06,7,2.97,0
CUST000115,1.22,23,0.47,0.03,4,1.48,0
CUST000116,3.23,21,0.65,0.37,8,3.33,1
CUST000117,19.28,18,0.37,0.14,4,4.47,0
CUST000118,5.25,4,0.96,0.01,2,4.88,1
CUST000119,1.82,4,0.89,0.26,8,4.97,1
CUST000120,2.4,10,0.55,0.48,9,3.09,1
CUST000121,12.96,11,0.7,0.23,3,3.51,0
CUST000122,12.1,9,0.9,0.02,8,2.12,0
CUST000123,19.06,2,0.89,0.23,1,3.48,0
CUST000124,6.27,9,0.19,0.23,0,2.41,1
CUST000125,12.09,25,0.08,0.49,2,4.94,0
CUST000126,14.27,9,0.54,0.15,2,4.26,0
CUST000127,14.01,18,0.16,0.46,6,4.29,0
CUST000128,19.05,4,0.73,0.31,1,2.67,0
CUST000129,18.72,23,0.87,0.02,2,1.11,0
CUST000130,8.15,12,0.81,0.49,9,1.6,0
CUST000131,12.29,14,0.38,0.48,2,4.37,1
CUST000132,16.93,12,0.47,0.21,0,2.09,0
CUST000133,2.07,7,0.86,0.41,10,5.0,1
CUST000134,19.94,4,0.56,0.38,5,4.78,0
CUST000135,17.14,14,0.25,0.23,9,1.52,0
CUST000136,19.13,8,0.61,0.11,2,3.69,0
CUST000137,12.74,6,0.36,0.06,6,3.69,1
CUST000138,10.89,24,0.77,0.26,5,4.41,0
CUST000139,11.49,14,0.56,0.44,10,2.61,0
CUST000140,3.55,8,0.03,0.38,4,3.48,1
CUST000141,14.38,23,0.21,0.07,1,1.06,0
CUST000142,7.66,2,0.59,0.2,7,2.75,1
CUST000143,18.18,15,0.35,0.26,5,4.13,0
CUST000144,8.53,8,0.62,0.43,3,4.8,1
CUST000145,3.79,7,0.93,0.25,6,2.03,1
CUST000146,9.72,3,0.98,0.25,4,2.32,1
CUST000147,13.03,17,0.24,0.04,6,1.52,0
CUST000148,3.43,18,0.15,0.07,5,3.56,0
CUST000149,4.46,4,0.35,0.45,4,2.9,1
CUST000150,13.68,9,0.17,0.1,0,1.16,1
CUST000151,4.21,14,0.28,0.09,5,1.35,0
CUST000152,3.29,11,0.46,0.1,6,2.46,0
CUST000153,10.56,17,0.69,0.02,1,4.2,0
CUST000154,12.93,19,0.08,0.44,3,4.68,0
CUST000155,2.16,23,0.28,0.4,6,3.99,1
CUST000156,4.51,18,0.21,0.19,10,2.94,0
CUST000157,12.75,24,0.37,0.23,10,3.99,1
CUST000158,1.7,14,0.25,0.36,1,4.58,0
CUST000159,10.72,11,0.53,0.05,9,2.79,0
CUST000160,11.12,4,0.24,0.13,4,2.51,0
CUST000161,1.38,22,0.32,0.11,6,2.31,1
CUST000162,3.28,23,0.89,0.3,4,3.72,0
CUST000163,15.99,7,0.5,0.04,6,3.15,0
CUST000164,12.15,13,0.75,0.22,10,1.51,0
CUST000165,6.39,6,0.36,0.32,9,3.28,0
CUST000166,7.77,13,0.99,0.3,8,1.95,0
CUST000167,2.93,10,0.15,0.12,4,1.64,1
CUST000168,4.54,19,0.29,0.09,9,4.59,0
CUST000169,2.52,15,0.52,0.21,7,4.93,0
CUST000170,3.13,7,0.4,0.48,8,4.46,0
CUST000171,16.52,24,0.26,0.09,2,3.67,0
CUST000172,18.66,10,0.56,0.29,8,2.12,0
CUST000173,15.62,20,0.19,0.16,5,2.7,1
CUST000174,10.64,25,0.24,0.06,3,3.44,0
CUST000175,6.48,8,0.58,0.08,3,2.92,1
CUST000176,11.12,2,0.05,0.17,3,1.54,0
CUST000177,2.2,20,0.99,0.16,1,4.24,0
CUST000178,5.84,21,0.68,0.38,9,3.38,1
CUST000179,9.96,23,0.41,0.17,6,4.72,0
CUST000180,16.78,8,0.97,0.06,2,3.92,0
CUST000181,18.83,1,0.18,0.03,1,3.96,0
CUST000182,11.91,8,0.84,0.07,2,4.18,0
CUST000183,4.83,23,0.16,0.08,8,4.26,0
CUST000184,13.64,18,0.52,0.18,3,4.51,0
CUST000185,8.46,4,0.82,0.22,7,2.51,1
CUST000186,9.79,15,0.3,0.37,10,3.01,0
CUST000187,5.41,18,0.9,0.19,9,3.17,1
CUST000188,18.22,25,0.62,0.06,7,4.76,0
CUST000189,12.93,24,0.33,0.07,8,4.18,0
CUST000190,12.78,18,0.53,0.45,7,4.15,0
CUST000191,3.88,24,0.31,0.12,7,3.98,0
CUST000192,1.64,25,0.57,0.38,3,4.51,0
CUST000193,7.5,9,0.82,0.06,8,4.39,0
CUST000194,3.42,8,0.4,0.4,4,1.6,1
CUST000195,5.36,23,0.72,0.36,4,3.56,1
CUST000196,14.19,11,0.54,0.13,5,2.38,0
CUST000197,4.45,3,0.91,0.29,2,2.6,1
CUST000198,9.78,13,0.95,0.08,2,3.34,0
CUST000199,10.61,3,0.61,0.01,6,4.49,0
CUST000200,18.71,18,0.57,0.35,7,4.69,0
CUST000201,14.44,7,0.15,0.29,6,3.43,0
CUST000202,9.06,25,0.74,0.47,9,4.7,0
CUST000203,9.57,1,0.11,0.49,9,4.36,0
CUST000204,3.37,1,0.92,0.43,5,3.08,1
