customer_id,age,gender,country,registration_date,loyalty_score,lifetime_value,churn_label
CUST000001,25,Male,Canada,2021-08-02,37.45,19019.21,1
CUST000002,65,Male,UK,2018-10-13,73.2,12013.3,0
CUST000003,19,Male,India,2018-03-07,15.6,3204.29,1
CUST000004,19,Other,India,2021-05-17,5.81,17336.91,0
CUST000005,52,Female,India,2021-12-07,60.11,14190.64,0
CUST000006,69,Male,Germany,2019-07-24,2.06,19401.21,0
CUST000007,35,Male,India,2019-11-28,83.24,4325.55,0
CUST000008,24,Male,France,2019-11-21,18.18,3749.75,1
CUST000009,40,Other,Canada,2022-10-02,30.42,10542.65,0
CUST000010,47,Other,UK,2022-02-03,43.19,5895.46,0
CUST000011,23,Other,Canada,2020-02-15,61.19,2875.93,0
CUST000012,41,Other,India,2021-06-20,29.21,7390.6,0
CUST000013,60,Male,Canada,2018-04-04,45.61,15725.0,0
CUST000014,32,Male,France,2022-10-18,19.97,10333.27,1
CUST000015,41,Male,Australia,2021-07-25,59.24,1024.36,0
CUST000016,35,Other,UK,2021-10-04,60.75,3493.43,0
CUST000017,52,Other,India,2018-12-17,6.51,18982.82,1
CUST000018,35,Other,India,2020-02-17,96.56,16187.11,0
CUST000019,67,Male,India,2022-09-23,30.46,2043.68,0
CUST000020,38,Female,Canada,2022-07-07,68.42,8859.03,1
CUST000021,54,Other,Australia,2023-02-14,12.2,9954.02,1
CUST000022,43,Other,Brazil,2020-10-19,3.44,18195.48,1
CUST000023,33,Other,Canada,2018-10-13,25.88,13284.19,0
CUST000024,55,Female,Australia,2020-05-27,31.17,10449.35,1
CUST000025,50,Female,UK,2018-10-11,54.67,3778.6,0
CUST000026,25,Male,Germany,2022-10-30,96.96,15525.14,0
CUST000027,56,Male,France,2020-05-14,93.95,17907.06,0
CUST000028,51,Female,USA,2020-08-16,59.79,18445.3,0
CUST000029,61,Other,Canada,2018-08-23,8.85,4000.06,0
CUST000030,25,Female,France,2019-11-28,4.52,6574.07,1
CUST000031,64,Other,Canada,2018-01-07,38.87,5499.85,0
CUST000032,29,Other,UK,2022-04-10,82.87,7199.39,0
CUST000033,58,Other,India,2019-09-04,28.09,10899.65,1
CUST000034,28,Other,USA,2022-04-11,14.09,16063.72,0
CUST000035,19,Male,Australia,2020-09-27,7.46,19739.05,0
CUST000036,69,Female,India,2022-08-31,77.22,4054.44,1
CUST000037,54,Male,UK,2022-12-04,0.55,16327.68,0
CUST000038,22,Other,Germany,2022-07-30,70.69,14607.24,0
CUST000039,53,Male,Canada,2020-08-31,77.13,1573.49,0
CUST000040,45,Male,India,2021-05-27,35.85,2405.79,0
CUST000041,60,Other,Australia,2020-03-28,86.31,12503.63,0
CUST000042,46,Male,India,2020-11-25,33.09,1364.81,1
CUST000043,19,Other,India,2019-11-24,31.1,6571.15,0
CUST000044,22,Other,USA,2018-01-15,72.96,12787.39,0
CUST000045,20,Female,UK,2023-01-29,88.72,9497.08,0
CUST000046,60,Female,India,2019-07-25,11.96,14293.57,0
CUST000047,54,Other,Brazil,2022-01-21,76.08,11269.42,0
CUST000048,69,Female,India,2020-08-26,77.1,9926.53,1
CUST000049,45,Female,France,2021-09-11,52.27,8608.07,0
CUST000050,64,Male,UK,2022-11-05,2.54,2247.04,1
CUST000051,39,Male,India,2022-01-31,3.14,12764.57,1
CUST000052,46,Male,France,2021-01-03,31.44,10220.56,1
CUST000053,33,Male,Brazil,2020-08-05,90.76,5060.92,0
CUST000054,53,Male,USA,2022-10-20,41.04,15135.47,0
CUST000055,18,Male,India,2021-01-12,22.88,1631.9,1
CUST000056,48,Male,France,2020-09-21,28.98,3308.3,0
CUST000057,42,Male,France,2018-12-04,92.97,16181.6,0
CUST000058,68,Female,Canada,2022-05-25,63.34,17442.07,0
CUST000059,64,Other,Brazil,2023-05-15,80.37,3812.74,0
CUST000060,31,Male,USA,2019-08-31,89.26,10832.91,0
CUST000061,21,Other,Brazil,2018-04-28,80.74,17932.22,0
CUST000062,51,Male,USA,2022-10-13,31.8,2290.03,0
CUST000063,29,Male,UK,2018-06-14,22.79,8599.44,0
CUST000064,43,Male,India,2019-04-27,81.8,17228.54,0
CUST000065,57,Male,France,2018-03-23,0.7,10263.87,0
CUST000066,51,Female,Canada,2021-03-03,41.74,4519.95,0
CUST000067,38,Male,Canada,2022-01-06,11.99,6818.54,0
CUST000068,59,Female,Brazil,2021-10-07,94.29,6531.74,0
CUST000069,22,Male,Brazil,2022-03-20,51.88,14090.08,0
CUST000070,24,Male,India,2021-02-27,36.36,19438.46,0
CUST000071,40,Male,India,2018-09-29,96.24,5110.47,0
CUST000072,46,Other,Canada,2018-11-20,49.72,6087.48,0
CUST000073,59,Other,USA,2022-07-11,28.48,834.05,0
CUST000074,37,Other,UK,2021-02-09,60.96,10103.31,0
CUST000075,34,Male,UK,2018-10-03,5.15,5645.06,0
CUST000076,35,Female,India,2018-11-15,90.83,4867.28,0
CUST000077,61,Other,Canada,2019-02-21,14.49,9840.11,0
CUST000078,21,Male,France,2019-05-30,98.57,4916.9,0
CUST000079,18,Female,Germany,2018-04-01,67.21,15256.23,0
CUST000080,28,Other,Brazil,2019-06-21,23.76,14591.51,0
CUST000081,53,Male,UK,2020-05-25,36.78,12682.89,1
CUST000082,62,Male,USA,2022-12-14,63.35,10761.92,0
CUST000083,53,Male,France,2021-04-07,9.03,16722.52,1
CUST000084,41,Male,Australia,2019-09-24,32.08,3811.72,1
CUST000085,60,Male,Australia,2019-05-27,4.08,11858.77,0
CUST000086,44,Other,Germany,2022-12-16,67.76,430.1,0
CUST000087,28,Male,France,2019-04-30,51.21,4607.27,1
CUST000088,39,Female,India,2022-02-17,64.52,3569.89,0
CUST000089,62,Male,France,2022-06-01,69.09,7796.03,0
CUST000090,48,Male,India,2022-10-25,93.67,2836.67,0
CUST000091,40,Female,India,2020-07-31,34.11,2358.12,1
CUST000092,30,Female,Australia,2021-09-13,92.47,17559.05,0
CUST000093,67,Female,Australia,2018-05-23,25.79,13233.68,0
CUST000094,61,Other,Australia,2020-03-29,81.72,11148.5,0
CUST000095,34,Male,Canada,2018-08-25,52.97,4912.86,1
CUST000096,45,Female,Australia,2021-05-06,9.31,17954.59,0
CUST000097,25,Female,India,2020-11-13,90.04,12698.72,0
CUST000098,45,Male,India,2021-12-22,33.9,7049.27,0
CUST000099,60,Female,Australia,2018-05-24,72.6,17952.49,0
CUST000100,64,Female,Canada,2018-09-13,88.71,15619.52,0
CUST000101,43,Other,Canada,2019-10-31,64.2,1774.39,0
CUST000102,44,Other,France,2019-01-28,16.16,17981.23,0
CUST000103,29,Other,Canada,2023-01-23,60.64,283.02,0
CUST000104,18,Female,Canada,2022-09-04,10.15,13303.69,1
CUST000105,55,Other,Australia,2022-05-29,0.51,3300.08,0
CUST000106,61,Male,Brazil,2020-06-24,54.87,13868.71,0
CUST000107,68,Other,Germany,2023-05-20,65.2,4562.96,0
CUST000108,50,Other,Australia,2019-08-05,71.22,4821.26,1
CUST000109,66,Male,Canada,2023-05-04,32.54,14955.18,1
CUST000110,27,Male,USA,2019-02-12,64.96,16999.55,0
CUST000111,57,Male,Brazil,2020-08-31,65.76,11409.34,0
CUST000112,54,Male,France,2021-07-13,9.37,7417.54,0
CUST000113,27,Other,USA,2019-05-15,26.52,4955.39,0
CUST000114,67,Male,France,2022-10-29,97.3,7922.64,0
CUST000115,62,Other,Brazil,2022-07-05,89.2,12659.66,1
CUST000116,25,Female,Germany,2019-05-26,79.48,10102.48,0
CUST000117,51,Other,Australia,2021-09-29,57.69,9901.1,0
CUST000118,46,Other,France,2022-12-31,19.52,14476.8,0
CUST000119,46,Male,Brazil,2021-01-27,28.08,583.89,0
CUST000120,33,Other,Canada,2022-03-20,64.55,3624.5,0
CUST000121,49,Other,India,2020-12-03,94.05,19083.18,0
CUST000122,63,Female,India,2018-06-08,91.49,7466.16,0
CUST000123,52,Male,Germany,2019-10-17,1.55,18573.54,1
CUST000124,62,Male,India,2020-02-24,42.82,19336.43,1
CUST000125,39,Other,Brazil,2020-04-14,96.36,17074.89,0
CUST000126,44,Female,USA,2019-02-28,29.44,7763.44,0
CUST000127,54,Female,Brazil,2022-04-17,85.11,6406.75,1
CUST000128,37,Female,France,2019-12-22,16.95,11180.35,0
CUST000129,52,Other,India,2022-02-13,93.62,13950.99,0
CUST000130,45,Female,USA,2019-07-13,57.01,2033.81,0
CUST000131,61,Female,Germany,2021-10-01,61.5,19802.07,0
CUST000132,26,Other,USA,2023-02-27,14.01,10414.76,0
CUST000133,54,Other,USA,2021-04-27,87.74,14841.3,1
CUST000134,26,Female,Germany,2020-05-27,69.7,14079.43,1
CUST000135,38,Male,Brazil,2020-02-16,35.95,5942.48,1
CUST000136,42,Female,France,2022-04-08,80.94,16221.26,0
CUST000137,48,Male,USA,2018-06-17,86.71,18273.49,0
CUST000138,32,Other,UK,2019-12-18,51.13,10080.17,0
CUST000139,20,Male,India,2021-08-27,79.83,13034.28,0
CUST000140,57,Male,India,2018-02-11,70.2,15936.27,0
CUST000141,25,Other,India,2021-10-03,89.0,6826.1,0
CUST000142,67,Female,Germany,2019-06-09,37.56,1970.24,0
CUST000143,65,Other,UK,2023-05-28,57.83,815.25,0
CUST000144,37,Male,USA,2018-12-02,46.56,10898.63,0
CUST000145,61,Female,France,2021-03-25,28.65,11857.58,0
CUST000146,22,Other,India,2019-02-11,3.05,843.23,1
CUST000147,37,Other,UK,2022-05-02,82.26,7267.79,0
CUST000148,68,Male,Australia,2021-03-05,12.71,10492.64,0
CUST000149,41,Male,Australia,2021-09-16,77.0,4394.84,1
CUST000150,70,Female,UK,2020-05-10,62.29,1798.41,0
CUST000151,58,Female,Germany,2020-01-12,5.17,10673.96,0
CUST000152,51,Other,Canada,2022-02-11,54.06,12784.86,0
CUST000153,52,Female,Brazil,2023-02-27,72.61,19519.46,0
CUST000154,55,Female,Australia,2022-02-06,51.63,6526.83,0
CUST000155,23,Female,Brazil,2022-08-29,79.52,5489.56,0
CUST000156,54,Other,France,2020-08-09,43.9,1661.28,0
CUST000157,38,Male,Brazil,2020-10-09,2.54,19256.7,1
CUST000158,34,Female,Canada,2022-06-22,83.6,13949.89,0
CUST000159,35,Other,USA,2021-12-07,40.9,3548.56,0
CUST000160,23,Male,France,2019-01-27,15.64,5079.83,0
CUST000161,33,Other,Brazil,2022-04-02,54.92,14320.46,0
CUST000162,46,Male,UK,2020-10-02,66.02,5670.68,0
CUST000163,62,Male,Canada,2020-04-08,95.49,14784.15,0
CUST000164,48,Other,Australia,2020-01-26,55.44,12273.24,0
CUST000165,53,Female,Australia,2022-03-08,41.96,5029.85,0
CUST000166,37,Female,India,2019-07-09,35.6,15181.14,1
CUST000167,38,Male,Germany,2019-01-30,1.44,2409.85,1
CUST000168,48,Female,Canada,2022-02-21,4.6,910.5,0
CUST000169,30,Female,India,2022-09-02,85.55,14102.79,0
CUST000170,18,Other,Germany,2019-09-12,47.42,2046.9,0
CUST000171,21,Other,Canada,2023-06-19,49.16,9522.09,0
CUST000172,58,Female,UK,2018-09-16,17.32,8733.65,0
CUST000173,36,Female,Brazil,2021-03-21,39.85,12355.42,0
CUST000174,21,Female,Brazil,2019-01-13,63.51,1001.55,1
CUST000175,43,Female,UK,2018-05-14,37.46,12554.61,0
CUST000176,21,Male,Germany,2021-11-06,50.31,17144.15,0
CUST000177,37,Male,India,2023-04-28,65.87,3342.4,1
CUST000178,44,Other,India,2022-04-15,7.06,12884.14,0
CUST000179,46,Female,Canada,2020-02-19,2.65,11756.93,0
CUST000180,37,Other,USA,2020-05-28,94.02,11551.94,0
CUST000181,24,Male,India,2022-02-24,38.82,12901.44,1
CUST000182,28,Male,Germany,2018-06-16,45.83,10957.77,0
CUST000183,18,Female,Brazil,2018-11-17,94.15,7783.44,0
CUST000184,36,Male,India,2020-08-20,96.12,18116.48,0
CUST000185,62,Female,UK,2019-08-03,19.58,1480.29,0
CUST000186,34,Other,India,2023-03-08,10.08,462.61,0
CUST000187,32,Other,Germany,2021-01-20,9.44,13691.83,0
CUST000188,27,Male,USA,2022-08-20,7.12,6447.62,1
CUST000189,56,Other,Canada,2019-09-22,84.49,563.11,0
CUST000190,62,Female,France,2020-08-17,81.45,5708.91,0
CUST000191,52,Female,Brazil,2020-10-21,11.82,13965.07,1
CUST000192,45,Other,Australia,2018-03-23,62.89,17561.69,0
CUST000193,23,Male,USA,2018-02-22,73.51,16089.27,0
CUST000194,70,Female,USA,2021-10-08,28.2,3631.05,0
CUST000195,48,Other,Brazil,2018-12-25,75.06,16156.01,0
CUST000196,55,Female,Brazil,2019-01-07,99.05,8311.09,0
CUST000197,40,Female,Australia,2020-08-20,37.2,15550.62,1
CUST000198,28,Female,France,2018-08-03,34.08,18622.07,0
CUST000199,60,Female,USA,2019-08-14,85.84,8636.98,0
CUST000200,34,Female,UK,2019-10-07,75.09,15115.4,0
CUST000201,50,Male,Brazil,2020-04-07,10.31,18060.8,0
CUST000202,51,Female,Brazil,2019-01-20,50.53,16546.5,0
CUST000203,21,Male,Canada,2022-04-06,32.0,17920.91,0
CUST000204,36,Female,Brazil,2023-03-15,38.92,315.67,1
CUST000205,58,Other,India,2023-06-17,90.54,1916.6,0
CUST000206,53,Male,France,2019-09-29,31.93,19006.23,1
CUST000207,25,Female,UK,2022-09-20,95.06,11511.41,0
CUST000208,49,Other,Canada,2018-11-12,63.18,9024.07,0
CUST000209,44,Female,Brazil,2019-07-14,29.32,6640.42,1
CUST000210,27,Female,India,2021-02-02,67.25,15072.25,0
CUST000211,65,Male,UK,2020-11-06,79.16,15813.4,0
CUST000212,44,Female,Canada,2022-06-06,9.12,9938.96,0
CUST000213,64,Female,Brazil,2019-08-03,5.76,11035.62,0
CUST000214,52,Female,Australia,2020-07-03,44.15,17765.31,0
CUST000215,52,Female,Brazil,2022-04-12,35.09,2429.63,0
CUST000216,30,Other,India,2022-11-16,14.3,15254.06,0
CUST000217,67,Female,USA,2019-04-24,61.82,2112.34,0
CUST000218,63,Female,France,2020-08-26,8.41,14049.29,0
CUST000219,70,Other,Germany,2022-06-11,7.28,16455.02,0
CUST000220,26,Other,Australia,2018-03-17,70.62,1718.84,0
CUST000221,46,Male,Brazil,2022-11-26,8.48,19734.13,1
CUST000222,44,Other,Germany,2018-10-23,37.43,7475.78,1
CUST000223,34,Female,France,2022-05-20,81.28,18950.25,0
CUST000224,39,Other,France,2022-10-11,98.6,15092.23,0
CUST000225,63,Female,USA,2021-07-07,37.63,1761.66,0
CUST000226,58,Other,Canada,2019-04-26,77.71,11212.24,0
CUST000227,23,Female,UK,2022-03-10,42.42,18136.45,0
CUST000228,24,Female,Germany,2021-12-12,11.12,9903.24,0
CUST000229,19,Male,Australia,2023-01-25,1.14,9426.35,0
CUST000230,40,Female,France,2019-08-24,5.63,2464.48,1
CUST000231,44,Other,Germany,2020-12-23,11.75,13019.29,1
CUST000232,57,Female,India,2018-06-11,74.6,11709.04,0
CUST000233,27,Male,Brazil,2021-04-09,96.22,7559.92,0
CUST000234,34,Other,USA,2020-07-30,28.57,17385.12,0
CUST000235,36,Other,Germany,2020-08-10,22.36,19268.13,1
CUST000236,40,Other,Canada,2023-04-20,1.22,19400.59,0
CUST000237,62,Female,Brazil,2020-05-18,4.32,17833.75,0
CUST000238,42,Female,UK,2019-02-12,52.77,19860.0,0
CUST000239,40,Other,Canada,2021-03-17,7.38,11121.7,0
CUST000240,19,Other,France,2019-08-28,96.93,10509.65,0
CUST000241,61,Other,USA,2021-03-05,62.94,13945.4,0
CUST000242,49,Female,India,2022-03-07,45.45,12588.41,0
CUST000243,32,Other,India,2019-12-23,58.43,18033.04,0
CUST000244,66,Other,Germany,2021-10-20,4.54,5691.17,0
